1,BIRMINGHAM,HUETOWN,AL,0,400,0,0,875,1100
2,HUNTSVILLE,HUNTSVILLE,AL,0,425,0,0,875,1100
3,MOBILE,EIGHT MILE,AL,0,400,0,0,875,1100
4,MONTGOMERY,MONTGOMERY,AL,0,400,0,0,875,1100
5,BIRMINGHAM,BESSEMER,AL,0,400,0,0,875,1100
6,DOTHAN,HEADLAND,AL,0,400,0,0,875,1100
7,HUNTSVILLE,ATHENS,AL,0,400,0,0,875,1100
8,BIRMINGHAM,MOODY,AL,0,425,0,0,875,1100
9,TANNER,TANNER,AL,0,450,0,0,875,1100
10,Fayetteville,PRAIRIE GROVE,AR,,,425,,975,1200
11,Little Rock,CONWAY,AR,,,425,,975,1200
12,Fayetteville,Lincoln,AR,,,425,,975,1200
13,Little Rock,Scott,AR,,,425,,975,1200
14,PHOENIX,PHOENIX,AZ,,,,300,1050,1400
15,TUCSON,TUCSON,AZ,,,,425,1050,1400
16,PHOENIX,PHOENIX,AZ,,,,300,1050,1400
17,TUCSON,TUCSON,AZ,,,,425,1050,1400
18,ARIZONA,PHOENIX,AZ,,,,300,1050,1400
19,PNOENIX,TOLLESON,AZ,,,,400,1050,1400
20,TUCSON,TUCSON,AZ,,,,475,1050,1400
21,PHOENIX,CHANDLER,AZ,,,,350,1050,1400
22,BAKERSFIELD,BAKERSFIELD,CA,,,,275,1050,1400
23,FRESNO,FRESNO,CA,,,,350,1050,1400
24,HAYWARD,HAYWARD,CA,,,,400,1050,1400
25,LOS ANGELES,LOS ANGELES,CA,,,,150,1050,1400
26,MARTINEZ,MARTINEZ,CA,,,,375,1050,1400
27,RANCHO CUCAMONGA,RANCHO CUCAMONGA,CA,,,,225,1050,1400
28,SACRAMENTO,SACRAMENTO,CA,,,,375,1050,1400
29,SAN BERNARDINO,COLTON,CA,,,,200,1050,1400
30,SAN DIEGO,SAN DIEGO,CA,,,,225,1050,1400
31,SAN JOSE,SAN MARTIN,CA,,,,350,1050,1400
32,SOUTH SACRAMENTO,SACRAMENTO,CA,,,,375,1050,1400
33,VALLEJO,VALLEJO,CA,,,,375,1050,1400
34,VAN NUYS,VAN NUYS,CA,,,,175,1050,1400
35,ANAHEIM,ANAHEIM,CA,,,,200,1050,1400
36,COLTON,COLTON,CA,,,,200,1050,1400
37,EAST BAY,BAY POINT,CA,,,,325,1050,1400
38,FRESNO,FRESNO,CA,,,,375,1050,1400
39,FONTANA,FONTANA,CA,,,,225,1050,1400
40,FREMONT,FREMONT,CA,,,,375,1050,1400
41,HIGH DESERT,HESPERIA,CA,,,,CONTACT,1050,1400
42,LOS ANGELES,GARDENA,CA,,,,150,1050,1400
43,NORTH HOLLYWOOD,NORTH HOLLYWOOD,CA,,,,150,1050,1400
44,SACRAMENTO,RANCHO CORDOVA,CA,,,,375,1050,1400
45,SAN DIEGO,SAN DIEGO,CA,,,,225,1050,1400
46,CALIFORNIA,ANAHEIM,CA,,,,175,1050,1400
47,CENTRAL CALIFORNIA,FRESNO,CA,,,,375,1050,1400
48,RIVERSIDE,RIVERSIDE,CA,,,,CONTACT,1050,1400
49,SAN DIEGO,OCEANSIDE,CA,,,,250,1050,1400
50,SAN FRANCISCO BAY,HAYWARD,CA,,,,375,1050,1400
51,SOUTHERN CALIFORNIA,FONTANA,CA,,,,225,1050,1400
52,SAN DIEGO,SAN DIEGO,CA,,,,225,1050,1400
53,SACRAMENTO,SACRAMENTO,CA,,,,375,1050,1400
54,LOS ANGELES,MIRA LOMA,CA,,,,CONTACT,1050,1400
55,SUN VALLEY,SUN VALLEY,CA,,,,200,1050,1400
56,GOLDEN GATE,TRACY,CA,,,,CONTACT,1050,1400
57,DENVER,BRIGHTON,CO,,,525,550,1050,1400
58,DENVER,DENVER,CO,,,525,550,1050,1400
59,WESTERN COLORADO,DELTA,CO,,,CONTACT,CONTACT,1050,1400
60,COLORADO,COMMERCE CITY,CO,,,525,550,1050,1400
61,DENVER,AURORA,CO,,,525,550,1050,1400
62,COLORADO SPRINGS,FOUNTAIN,CO,,,525,550,1050,1400
63,Hartford,East Windsor,CT,250,,,,875,1100
64,Hartford-South,Middletown,CT,250,,,,875,1100
65,HARTFORD,NEW BRITAIN,CT,250,,,,875,1100
66,New Castle,New Castle,DE,275,,,,875,1100
67,SEAFORD,SEAFORD,DE,275,,,,875,1100
68,FORT PIERCE,FORT PIERCE,FL,,350,,,875,1100
69,JACKSONVILLE EAST,JACKSONVILLE,FL,,225,,,875,1100
70,JACKSONVILLE WEST,JACKSONVILLE,FL,,225,,,875,1100
71,MIAMI CENTRAL,MIAMI,FL,,350,,,875,1100
72,MIAMI NORTH,MIAMI,FL,,350,,,875,1100
73,OCALA,OCALA,FL,,350,,,875,1100
74,ORLANDO,ORLANDO,FL,,300,,,875,1100
75,PUNTA GORDA,PUNTA GORDA,FL,,350,,,875,1100
76,TALLAHASSEE,MIDWAY,FL,,350,,,875,1100
77,TAMPA EAST,DOVER,FL,,300,,,875,1100
78,TAMPA SOUTH,RIVERVIEW,FL,,300,,,875,1100
79,WEST PALM BEACH,WEST PALM BEACH,FL,,375,,,875,1100
80,CLEARWATER,CLEARWATER,FL,,350,,,875,1100
81,JACKSONVILLE,JACKSONVILLE,FL,,225,,,875,1100
82,MIAMI,OPA LOCKA,FL,,350,,,875,1100
83,MIAMI NORTH,PEMBROKE PINES,FL,,350,,,875,1100
84,ORLANDO NORTH,SANFORD,FL,,275,,,875,1100
85,ORLANDO,ORLANDO,FL,,300,,,875,1100
